,year,region,installed,tech,agent,category,sector,capital_costs
140,2030,R1,2025,gassupply1,A1,retrofit,gas,12.486.649.605.867
551,2055,R1,2050,gasboiler,A3,retrofit,residential,184.736.842.105
641,2060,R1,2025,gasCCGT,A1,retrofit,power,4.76E-03
645,2060,R1,2050,gassupply1,A1,retrofit,gas,8.170.584
155,2035,R1,2030,heatpump,A1,retrofit,residential,1.584.210.526.316
454,2050,R1,2040,gasboiler,A3,retrofit,residential,138.552.631.579
177,2035,R1,2025,gasboiler,A2,retrofit,residential,3.00E-08
515,2055,R1,2050,gasboiler,A1,retrofit,residential,246.315.789.474
234,2040,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
179,2035,R1,2030,heatpump,A2,retrofit,residential,1.584.210.526.316
60,2025,R1,2025,gasCCGT,A1,retrofit,power,178.367.579.925
99,2030,R1,2025,gasboiler,A2,retrofit,residential,354.473.679.711
277,2040,R1,2030,gasboiler,A3,retrofit,residential,0.792105263
653,2060,R1,2055,gassupply1,A1,retrofit,gas,6.035.792.105.782
587,2060,R1,2055,gasboiler,A1,retrofit,residential,288.947.365.421
506,2055,R1,2050,gasboiler,A1,retrofit,residential,123.157.894.737
32,2025,R1,2025,gasboiler,A1,retrofit,residential,2.1
654,2060,R1,2050,gassupply1,A1,retrofit,gas,16.341.168
68,2025,R1,2030,gassupply1,A1,retrofit,gas,6.885.744.535.289
72,2030,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
300,2040,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
638,2060,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
136,2030,R1,2030,gassupply1,A1,retrofit,gas,4.162.216.535.289
129,2030,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
436,2050,R1,2040,gasboiler,A2,retrofit,residential,138.552.631.579
432,2050,R1,2030,gasboiler,A2,retrofit,residential,1.50E-08
485,2050,R1,2030,windturbine,A1,retrofit,power,2.669.827.075.831
498,2055,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
441,2050,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
223,2035,R1,2030,gassupply1,A1,retrofit,gas,3.456.641.183.498
246,2040,R1,2030,gasboiler,A1,retrofit,residential,6.00E-08
541,2055,R1,2045,gasboiler,A3,retrofit,residential,144.473.682.711
374,2045,R1,2040,gasboiler,A3,retrofit,residential,277.105.263.158
400,2045,R1,2025,windturbine,A1,retrofit,power,816.923.352.565
