Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
205,2055,R1,2040,gasboiler,2055,A1,0,newcapa,residential
206,2050,R1,2025,gasboiler,2050,A2,0,retrofit,residential
207,2060,R1,2050,gasboiler,2060,A1,0,retrofit,residential
208,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
209,2040,R1,2025,gasCCGT,2040,A1,0,newcapa,power
210,2055,R1,2025,gasboiler,2055,A1,0,retrofit,residential
211,2050,R1,2040,gasboiler,2050,A3,0,retrofit,residential
212,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
213,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
214,2050,R1,2040,gasboiler,2050,A1,0,retrofit,residential
215,2060,R1,2040,gasboiler,2060,A1,0,newcapa,residential
216,2035,R1,2030,heatpump,2035,A1,0,retrofit,residential
217,2030,R1,2025,gassupply1,2030,A1,0,retrofit,gas
218,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
219,2055,R1,2035,gasboiler,2055,A1,0,newcapa,residential
220,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
221,2035,R1,2025,windturbine,2035,A1,0,retrofit,power
222,2055,R1,2040,gasboiler,2055,A3,0,newcapa,residential
223,2035,R1,2025,gasCCGT,2035,A1,0,retrofit,power
224,2050,R1,2045,gasboiler,2050,A2,0,newcapa,residential
225,2050,R1,2025,gasboiler,2050,A1,0,retrofit,residential
226,2055,R1,2025,windturbine,2055,A1,0,newcapa,power
227,2025,R1,2025,heatpump,2025,A1,0,retrofit,residential
228,2055,R1,2045,gassupply1,2055,A1,0,retrofit,gas
229,2040,R1,2025,gasCCGT,2040,A1,0,retrofit,power
230,2050,R1,2040,gasboiler,2050,A2,0,newcapa,residential
231,2060,R1,2050,gasboiler,2060,A3,0,retrofit,residential
232,2060,R1,2055,gasboiler,2060,A3,0,retrofit,residential
233,2040,R1,2040,gasboiler,2040,A1,0,retrofit,residential
234,2025,R1,2025,heatpump,2025,A1,0,retrofit,residential
235,2060,R1,2025,gasCCGT,2060,A1,0,retrofit,power
236,2055,R1,2025,gasboiler,2055,A3,0,newcapa,residential
237,2040,R1,2030,gassupply1,2040,A1,0,retrofit,gas
238,2055,R1,2025,gasboiler,2055,A2,0,newcapa,residential
239,2045,R1,2045,gasboiler,2045,A2,0,newcapa,residential
240,2035,R1,2025,windturbine,2035,A1,0,retrofit,power
