,year,region,technology,agent,category,sector,EAC
105,2060,R1,gassupply2,A1,retrofit,gas,4.532.936.928.966
106,2030,R1,heatpump,A3,retrofit,residential,1.369.647.583.523
107,2050,R1,windturbine,A1,retrofit,power,0
108,2040,R1,heatpump,A2,retrofit,residential,640.446.521.254
109,2035,R1,gassupply3,A1,retrofit,gas,20.003.084.067.725
110,2050,R1,gasCCGT,A1,retrofit,power,0
111,2025,R1,gasboiler,A1,retrofit,residential,888.561.091.946
112,2040,R1,windturbine,A1,retrofit,power,814.193.863.016
113,2055,R1,gassupply1,A1,retrofit,gas,35.013.684.457.426
114,2055,R1,gassupply2,A1,retrofit,gas,34.381.923.303.924
115,2030,R1,gassupply2,A1,retrofit,gas,1.541.517.655.386
116,2025,R1,heatpump,A3,retrofit,residential,523.748.721.811
117,2060,R1,heatpump,A2,retrofit,residential,1.032.816.854.194
118,2030,R1,gasCCGT,A1,retrofit,power,381.991.406.668
119,2035,R1,gasboiler,A1,retrofit,residential,1.017.052.469.245
120,2055,R1,gasCCGT,A1,retrofit,power,0
121,2055,R1,gassupply2,A1,retrofit,gas,4.532.936.928.966
122,2060,R1,heatpump,A2,retrofit,residential,720.117.640.442
123,2060,R1,gassupply1,A1,retrofit,gas,35.013.684.457.426
124,2025,R1,heatpump,A2,retrofit,residential,12.105.165.631
125,2060,R1,gassupply3,A1,retrofit,gas,33.368.922.565.193
126,2030,R1,gasboiler,A3,retrofit,residential,1.052.863.940.193
127,2030,R1,gasboiler,A3,retrofit,residential,485.247.787.557
128,2040,R1,windturbine,A1,retrofit,power,299.896.246.467
129,2050,R1,heatpump,A1,retrofit,residential,2.167.789.109.636
130,2045,R1,windturbine,A1,retrofit,power,0
131,2030,R1,heatpump,A3,retrofit,residential,56.883.692.702
132,2055,R1,gassupply3,A1,retrofit,gas,96.593.769.149.712
133,2030,R1,gasboiler,A1,retrofit,residential,23.903.144.287
134,2025,R1,windturbine,A1,retrofit,power,142.902.624.241
135,2035,R1,heatpump,A3,retrofit,residential,886.421.718.274
136,2060,R1,gasboiler,A2,retrofit,residential,1.254.515.563.006
137,2055,R1,gasCCGT,A1,retrofit,power,0
138,2050,R1,heatpump,A2,retrofit,residential,1.625.841.832.227
139,2025,R1,gassupply1,A1,retrofit,gas,12.442.597.773.972
140,2060,R1,gasboiler,A3,retrofit,residential,579.701.582.403
141,2035,R1,gasCCGT,A1,retrofit,power,340.208.723.947
142,2035,R1,gasCCGT,A1,retrofit,power,340.208.723.947
143,2045,R1,gasboiler,A1,retrofit,residential,259.260.633.316
144,2040,R1,heatpump,A2,retrofit,residential,1.158.701.909.945
145,2035,R1,windturbine,A1,retrofit,power,443.165.082.407
146,2050,R1,heatpump,A3,retrofit,residential,1.034.644.729.189
147,2045,R1,windturbine,A1,retrofit,power,0
148,2055,R1,gassupply1,A1,retrofit,gas,12.842.227.667.764
149,2050,R1,heatpump,A1,retrofit,residential,1.738.052.864.917
150,2045,R1,gassupply3,A1,retrofit,gas,31.527.204.332.817
151,2045,R1,gasboiler,A1,retrofit,residential,7.256.346.976
152,2025,R1,heatpump,A2,retrofit,residential,523.748.721.811
153,2055,R1,gasboiler,A3,retrofit,residential,896.643.847.883
154,2040,R1,gasboiler,A2,retrofit,residential,109.525.680.728
155,2025,R1,heatpump,A3,retrofit,residential,12.105.165.631
156,2060,R1,gassupply1,A1,retrofit,gas,12.842.227.667.764
157,2035,R1,heatpump,A2,retrofit,residential,610.960.222.556
158,2055,R1,windturbine,A1,retrofit,power,0
159,2055,R1,windturbine,A1,retrofit,power,0
160,2055,R1,heatpump,A3,retrofit,residential,720.117.640.442
161,2035,R1,heatpump,A3,retrofit,residential,610.960.222.556
162,2060,R1,gasboiler,A3,retrofit,residential,896.643.847.883
163,2025,R1,gasboiler,A1,retrofit,residential,576.282.458.457
164,2055,R1,windturbine,A1,retrofit,power,0
165,2055,R1,gasboiler,A2,retrofit,residential,212.260.823.583
166,2030,R1,gasCCGT,A1,retrofit,power,677.996.532.105
167,2050,R1,gassupply3,A1,retrofit,gas,96.593.769.149.712
168,2055,R1,gassupply2,A1,retrofit,gas,34.381.923.303.924
169,2045,R1,windturbine,A1,retrofit,power,0
170,2030,R1,windturbine,A1,retrofit,power,387.968.978.571
171,2060,R1,heatpump,A2,retrofit,residential,720.117.640.442
172,2060,R1,gassupply1,A1,retrofit,gas,18.986.902.128.075
173,2055,R1,heatpump,A1,retrofit,residential,1.377.089.138.925
