,year,region,technology,agent,category,sector,EAC
269,2025,R1,gassupply1,A1,retrofit,gas,12.442.597.773.972
270,2030,R1,gasCCGT,A1,retrofit,power,268.044.131.661
271,2045,R1,heatpump,A3,retrofit,residential,680.474.428.833
272,2025,R1,windturbine,A1,retrofit,power,211.171.209.117
273,2050,R1,gasboiler,A1,retrofit,residential,773.448.371.163
274,2035,R1,gassupply2,A1,retrofit,gas,20.626.752.755.314
275,2030,R1,gasboiler,A1,retrofit,residential,1.002.426.928.438
276,2050,R1,gasboiler,A2,retrofit,residential,898.471.722.878
277,2035,R1,heatpump,A2,retrofit,residential,886.421.718.274
278,2045,R1,windturbine,A1,retrofit,power,0
279,2025,R1,gassupply1,A1,retrofit,gas,840.629.686.849
280,2055,R1,gasboiler,A2,retrofit,residential,896.643.847.883
281,2060,R1,gasCCGT,A1,retrofit,power,0
282,2030,R1,heatpump,A1,retrofit,residential,758.449.236.027
283,2050,R1,gassupply3,A1,retrofit,gas,49.776.944.474.218
284,2035,R1,heatpump,A2,retrofit,residential,886.421.718.274
285,2055,R1,gassupply1,A1,retrofit,gas,18.986.902.128.075
286,2040,R1,gassupply2,A1,retrofit,gas,43.285.664.401.694
287,2050,R1,gasCCGT,A1,retrofit,power,0
288,2055,R1,heatpump,A2,retrofit,residential,1.032.816.854.194
289,2060,R1,windturbine,A1,retrofit,power,0
290,2035,R1,gasboiler,A1,retrofit,residential,654.321.388.154
291,2040,R1,windturbine,A1,retrofit,power,443.165.082.407
292,2025,R1,gassupply3,A1,retrofit,gas,43.143.857.926.497
293,2055,R1,gasboiler,A2,retrofit,residential,579.701.582.403
294,2030,R1,heatpump,A1,retrofit,residential,758.449.236.027
295,2040,R1,gassupply1,A1,retrofit,gas,8.417.201.712.624
296,2050,R1,gasboiler,A2,retrofit,residential,2.149.939.862.168
297,2045,R1,heatpump,A2,retrofit,residential,977.164.466.456
298,2035,R1,gassupply2,A1,retrofit,gas,20.626.752.755.314
299,2025,R1,gasboiler,A2,retrofit,residential,928.539.214.067
300,2030,R1,heatpump,A2,retrofit,residential,1.369.647.583.523
301,2040,R1,gassupply1,A1,retrofit,gas,8.417.201.712.624
302,2035,R1,gassupply3,A1,retrofit,gas,58.063.108.195.121
303,2050,R1,gassupply1,A1,retrofit,gas,35.013.684.457.426
304,2035,R1,heatpump,A3,retrofit,residential,1.478.897.703.481
305,2060,R1,gasboiler,A3,retrofit,residential,896.643.847.883
306,2030,R1,gasboiler,A1,retrofit,residential,1.002.426.928.438
307,2025,R1,gassupply2,A1,retrofit,gas,29.711.905.210.099
308,2045,R1,gassupply3,A1,retrofit,gas,47.049.921.478.622
309,2050,R1,gasCCGT,A1,retrofit,power,0
310,2025,R1,heatpump,A2,retrofit,residential,523.748.721.811
311,2045,R1,gasCCGT,A1,retrofit,power,0
312,2025,R1,gasboiler,A2,retrofit,residential,1.561.400.453.295
313,2045,R1,heatpump,A2,retrofit,residential,680.474.428.833
314,2060,R1,heatpump,A2,retrofit,residential,1.032.816.854.194
315,2060,R1,heatpump,A3,retrofit,residential,1.032.816.854.194
316,2040,R1,heatpump,A3,retrofit,residential,919.684.203.723
317,2040,R1,gasboiler,A2,retrofit,residential,787.809.679.627
318,2030,R1,heatpump,A2,retrofit,residential,56.883.692.702
319,2030,R1,gasCCGT,A1,retrofit,power,169.864.442.111
320,2040,R1,heatpump,A3,retrofit,residential,640.446.521.254
321,2060,R1,heatpump,A1,retrofit,residential,960.156.853.923
322,2025,R1,windturbine,A1,retrofit,power,275.620.521.604
323,2040,R1,gasboiler,A1,retrofit,residential,1.460.342.409.707
324,2040,R1,gassupply2,A1,retrofit,gas,15.137.413.607.058
325,2040,R1,gassupply2,A1,retrofit,gas,22.539.116.241.328
326,2040,R1,gassupply3,A1,retrofit,gas,43.182.068.428.398
327,2055,R1,gassupply1,A1,retrofit,gas,12.842.227.667.764
328,2050,R1,gasboiler,A2,retrofit,residential,580.086.278.372
329,2045,R1,gassupply1,A1,retrofit,gas,17.970.437.040.598
330,2030,R1,windturbine,A1,retrofit,power,142.902.625.242
331,2025,R1,gassupply2,A1,retrofit,gas,22.516.562.314.904
332,2045,R1,gasCCGT,A1,retrofit,power,0
333,2025,R1,gasboiler,A3,retrofit,residential,432.211.843.843
334,2055,R1,heatpump,A1,retrofit,residential,960.156.853.923
335,2055,R1,gassupply2,A1,retrofit,gas,2.310.557.511.833
336,2025,R1,gassupply2,A1,retrofit,gas,15.122.273.229.111
337,2025,R1,gassupply3,A1,retrofit,gas,2.183.824.958.731
338,2040,R1,gasCCGT,A1,retrofit,power,340.208.723.947
339,2035,R1,gassupply3,A1,retrofit,gas,20.003.084.067.725
340,2055,R1,heatpump,A3,retrofit,residential,1.032.816.854.194
341,2030,R1,gassupply3,A1,retrofit,gas,33.225.938.913.847
342,2055,R1,gasboiler,A3,retrofit,residential,579.701.582.403
343,2045,R1,heatpump,A1,retrofit,residential,1.302.885.955.275
344,2045,R1,gassupply2,A1,retrofit,gas,62.434.777.571.433
345,2040,R1,gassupply3,A1,retrofit,gas,32.619.434.079.341
346,2050,R1,gassupply3,A1,retrofit,gas,65.856.064.183.384
347,2050,R1,heatpump,A2,retrofit,residential,720.502.336.411
348,2035,R1,gasCCGT,A1,retrofit,power,1.373.766.568.228
349,2035,R1,gasboiler,A3,retrofit,residential,762.789.351.934
