,year,region,technology,agent,category,sector,LCOE
141,2055,R1,heatpump,A1,retrofit,residential,1.806.664.967.319
142,2060,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
143,2025,R1,heatpump,A2,retrofit,residential,1.738.819.127.255
144,2030,R1,heatpump,A2,retrofit,residential,1.738.819.117.941
145,2055,R1,gasboiler,A2,retrofit,residential,1.708.146.369.047
146,2060,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
147,2040,R1,gasboiler,A3,retrofit,residential,1.405.670.587.403
148,2030,R1,gasCCGT,A1,retrofit,power,2.562.943.467.068
149,2045,R1,heatpump,A3,retrofit,residential,1.806.664.967.319
150,2035,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
151,2035,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
152,2050,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
153,2055,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
154,2040,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
155,2030,R1,windturbine,A1,retrofit,power,2.140.572.936.318
156,2035,R1,gasboiler,A1,retrofit,residential,1.405.670.587.403
157,2035,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
158,2025,R1,gasboiler,A2,retrofit,residential,2.166.545.906.365
159,2030,R1,gasboiler,A1,retrofit,residential,1.759.084.546.588
160,2040,R1,gasCCGT,A1,retrofit,power,3.486.158.931.107
161,2045,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
162,2035,R1,heatpump,A3,retrofit,residential,173.881.911.765
163,2040,R1,gasboiler,A2,retrofit,residential,1.677.102.404.026
164,2040,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
165,2035,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
166,2055,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
167,2045,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
168,2045,R1,gasboiler,A1,retrofit,residential,1.677.102.404.026
169,2035,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
170,2050,R1,heatpump,A3,retrofit,residential,1.756.408.782.357
171,2060,R1,gasboiler,A3,retrofit,residential,1.708.146.369.047
172,2055,R1,heatpump,A3,retrofit,residential,173.881.911.765
173,2060,R1,heatpump,A2,retrofit,residential,173.881.911.765
174,2025,R1,heatpump,A3,retrofit,residential,1.738.819.127.255
175,2050,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
176,2060,R1,gasboiler,A2,retrofit,residential,1.414.219.386.713
177,2040,R1,gasCCGT,A1,retrofit,power,2.447.117.113.586
178,2040,R1,gasCCGT,A1,retrofit,power,2.610.313.050.464
179,2055,R1,gasboiler,A3,retrofit,residential,1.708.146.369.047
180,2040,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
181,2050,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
182,2060,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
183,2035,R1,heatpump,A1,retrofit,residential,1.756.408.782.357
184,2025,R1,heatpump,A1,retrofit,residential,1.726.255.077.366
185,2035,R1,gasboiler,A2,retrofit,residential,2.127.400.233.106
186,2040,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
187,2045,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
188,2025,R1,heatpump,A2,retrofit,residential,1.738.819.127.255
189,2040,R1,gasboiler,A1,retrofit,residential,2.127.400.233.106
190,2050,R1,gasboiler,A3,retrofit,residential,1.414.219.386.713
191,2035,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
192,2025,R1,windturbine,A1,retrofit,power,2.140.572.936.318
193,2050,R1,heatpump,A2,retrofit,residential,1.756.408.782.357
194,2050,R1,heatpump,A2,retrofit,residential,173.881.911.765
195,2030,R1,gasboiler,A2,retrofit,residential,1.487.428.958.684
196,2025,R1,windturbine,A1,retrofit,power,2.140.572.936.318
197,2040,R1,heatpump,A3,retrofit,residential,1.756.408.782.357
198,2025,R1,gassupply2,A1,retrofit,gas,13.371.742.222.236
199,2030,R1,gasboiler,A1,retrofit,residential,1.600.898.501.079
200,2030,R1,gasCCGT,A1,retrofit,power,2.726.300.480.688
201,2050,R1,windturbine,A1,retrofit,power,0
202,2025,R1,heatpump,A3,retrofit,residential,1.738.819.127.255
203,2050,R1,gasboiler,A1,retrofit,residential,1.537.081.330.523
204,2055,R1,gasboiler,A3,retrofit,residential,1.414.219.386.713
205,2040,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
206,2025,R1,windturbine,A1,retrofit,power,2.140.572.936.318
207,2055,R1,gasCCGT,A1,retrofit,power,0
208,2030,R1,gasCCGT,A1,retrofit,power,2.562.943.467.068
209,2050,R1,gasboiler,A3,retrofit,residential,1.537.081.330.523
210,2030,R1,gasboiler,A2,retrofit,residential,1.487.428.958.684
211,2030,R1,gasboiler,A2,retrofit,residential,1.600.898.501.079
212,2050,R1,gasCCGT,A1,retrofit,power,0
213,2035,R1,heatpump,A3,retrofit,residential,1.756.408.782.357
214,2030,R1,heatpump,A3,retrofit,residential,1.738.819.117.941
215,2060,R1,gasboiler,A3,retrofit,residential,1.414.219.386.713
216,2030,R1,heatpump,A1,retrofit,residential,1.738.819.117.941
217,2035,R1,heatpump,A1,retrofit,residential,173.881.911.765
218,2060,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
219,2045,R1,windturbine,A1,retrofit,power,0
220,2030,R1,gassupply3,A1,retrofit,gas,1.928.591.526.575
221,2045,R1,gasboiler,A2,retrofit,residential,1.405.670.587.403
222,2025,R1,heatpump,A3,retrofit,residential,1.726.255.077.366
223,2030,R1,gassupply2,A1,retrofit,gas,13.377.801.352.961
224,2050,R1,windturbine,A1,retrofit,power,0
225,2050,R1,gasCCGT,A1,retrofit,power,0
226,2060,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
