,year,region,technology,agent,category,sector,LCOE
321,2055,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
322,2040,R1,windturbine,A1,retrofit,power,2.140.572.936.318
323,2030,R1,gasboiler,A1,retrofit,residential,1.487.428.958.684
324,2060,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
325,2025,R1,heatpump,A1,retrofit,residential,1.726.255.077.366
326,2045,R1,heatpump,A2,retrofit,residential,173.881.911.765
327,2030,R1,windturbine,A1,retrofit,power,2.140.572.936.318
328,2045,R1,gasCCGT,A1,retrofit,power,0
329,2055,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
330,2040,R1,heatpump,A1,retrofit,residential,1.806.664.967.319
331,2030,R1,gassupply1,A1,retrofit,gas,7.469.687.438.042
332,2060,R1,heatpump,A1,retrofit,residential,1.726.255.071.244
333,2025,R1,gasboiler,A1,retrofit,residential,1.444.603.145.156
334,2050,R1,gasCCGT,A1,retrofit,power,0
335,2040,R1,gasboiler,A1,retrofit,residential,1.405.670.587.403
336,2035,R1,gasboiler,A3,retrofit,residential,1.677.102.404.026
337,2040,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
338,2035,R1,gasboiler,A2,retrofit,residential,1.405.670.587.403
339,2055,R1,windturbine,A1,retrofit,power,0
340,2025,R1,gassupply1,A1,retrofit,gas,7.468.676.976.592
341,2040,R1,windturbine,A1,retrofit,power,2.140.572.936.318
342,2030,R1,gasboiler,A3,retrofit,residential,1.759.084.546.588
343,2050,R1,gasboiler,A1,retrofit,residential,1.537.081.330.523
344,2035,R1,gasCCGT,A1,retrofit,power,2.610.313.050.464
345,2055,R1,gasboiler,A1,retrofit,residential,1.414.219.386.713
346,2050,R1,heatpump,A2,retrofit,residential,1.806.664.967.319
347,2060,R1,gasboiler,A1,retrofit,residential,1.414.219.386.713
348,2055,R1,heatpump,A2,retrofit,residential,173.881.911.765
349,2050,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
350,2060,R1,heatpump,A3,retrofit,residential,173.881.911.765
351,2025,R1,gasboiler,A3,retrofit,residential,2.166.545.906.365
352,2055,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
353,2035,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
354,2060,R1,heatpump,A1,retrofit,residential,173.881.911.765
355,2050,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
356,2030,R1,gasboiler,A3,retrofit,residential,1.600.898.501.079
357,2040,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
358,2040,R1,heatpump,A3,retrofit,residential,173.881.911.765
359,2040,R1,gasboiler,A2,retrofit,residential,1.519.028.244.157
360,2055,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
361,2040,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
362,2060,R1,gasboiler,A3,retrofit,residential,1.414.219.386.713
363,2030,R1,gassupply2,A1,retrofit,gas,13.377.801.352.961
364,2040,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
365,2030,R1,gasCCGT,A1,retrofit,power,2.954.033.839.309
366,2045,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
367,2055,R1,gasboiler,A1,retrofit,residential,1.537.081.330.523
368,2060,R1,windturbine,A1,retrofit,power,0
369,2035,R1,heatpump,A1,retrofit,residential,1.726.255.071.244
370,2045,R1,gasboiler,A2,retrofit,residential,1.519.028.244.157
371,2040,R1,heatpump,A2,retrofit,residential,173.881.911.765
372,2025,R1,gassupply3,A1,retrofit,gas,1.927.480.746.575
373,2050,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
374,2060,R1,gasboiler,A1,retrofit,residential,2.194.885.730.239
375,2050,R1,windturbine,A1,retrofit,power,0
376,2040,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
377,2025,R1,gassupply3,A1,retrofit,gas,1.927.480.746.575
378,2045,R1,gasCCGT,A1,retrofit,power,0
379,2040,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
380,2030,R1,gasboiler,A1,retrofit,residential,220.960.614.695
381,2030,R1,heatpump,A2,retrofit,residential,1.726.255.071.438
382,2035,R1,gasboiler,A2,retrofit,residential,1.677.102.404.026
383,2045,R1,heatpump,A2,retrofit,residential,1.806.664.967.319
384,2055,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
385,2030,R1,gasboiler,A1,retrofit,residential,1.487.428.958.684
386,2045,R1,gasboiler,A1,retrofit,residential,1.519.028.244.157
387,2060,R1,windturbine,A1,retrofit,power,0
388,2035,R1,heatpump,A2,retrofit,residential,1.806.664.967.319
389,2055,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
390,2050,R1,gasboiler,A1,retrofit,residential,1.708.146.369.047
391,2045,R1,windturbine,A1,retrofit,power,0
392,2060,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
393,2055,R1,gasCCGT,A1,retrofit,power,0
394,2040,R1,heatpump,A1,retrofit,residential,173.881.911.765
395,2060,R1,gasboiler,A3,retrofit,residential,1.537.081.330.523
396,2060,R1,gasCCGT,A1,retrofit,power,0
397,2055,R1,windturbine,A1,retrofit,power,0
398,2060,R1,windturbine,A1,retrofit,power,0
399,2030,R1,gasboiler,A3,retrofit,residential,1.487.428.958.684
400,2045,R1,heatpump,A1,retrofit,residential,1.756.408.782.357
401,2050,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
402,2045,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
403,2060,R1,heatpump,A1,retrofit,residential,1.726.255.071.244
404,2030,R1,heatpump,A1,retrofit,residential,18.066.649.679
405,2060,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
406,2055,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
407,2035,R1,gasboiler,A2,retrofit,residential,1.405.670.587.403
408,2045,R1,gasboiler,A3,retrofit,residential,1.677.102.404.026
409,2060,R1,gasCCGT,A1,retrofit,power,0
410,2050,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
411,2025,R1,gassupply1,A1,retrofit,gas,7.468.676.976.592
412,2060,R1,gasCCGT,A1,retrofit,power,0
413,2040,R1,gasboiler,A1,retrofit,residential,1.405.670.587.403
414,2025,R1,gassupply1,A1,retrofit,gas,7.468.676.976.592
415,2050,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
416,2045,R1,gasCCGT,A1,retrofit,power,0
417,2060,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
418,2060,R1,gasboiler,A2,retrofit,residential,2.194.885.730.239
419,2035,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
