Unnamed: 0,year,region,installed,technology,agent,category,sector,fuel_consumption_costs
301,2055,R1,2040,gasboiler,A2,newcapa,residential,0
302,2055,R1,2045,gasboiler,A1,retrofit,residential,968.195.469.755
303,2055,R1,2025,gasCCGT,A1,newcapa,power,0
304,2055,R1,2055,gasboiler,A2,retrofit,residential,0
305,2055,R1,2030,windturbine,A1,retrofit,power,0
306,2055,R1,2050,gasboiler,A1,newcapa,residential,0
307,2025,R1,2025,heatpump,A1,retrofit,residential,0.724966451
308,2050,R1,2045,gasboiler,A1,newcapa,residential,0
309,2035,R1,2035,gasboiler,A2,retrofit,residential,0
310,2035,R1,2030,gasboiler,A3,retrofit,residential,0
311,2050,R1,2050,gasboiler,A2,retrofit,residential,0
312,2030,R1,2030,gasboiler,A3,newcapa,residential,0
313,2060,R1,2055,gasboiler,A3,retrofit,residential,0.922223424
314,2040,R1,2025,gasboiler,A1,retrofit,residential,0
315,2050,R1,2045,gasboiler,A3,newcapa,residential,0
316,2035,R1,2025,windturbine,A1,retrofit,power,0
317,2060,R1,2025,gasboiler,A1,retrofit,residential,0
318,2030,R1,2025,gasboiler,A1,retrofit,residential,1.18E-05
319,2035,R1,2025,gasboiler,A3,retrofit,residential,0
320,2060,R1,2055,gasboiler,A1,retrofit,residential,0.370079445
321,2060,R1,2045,gasboiler,A1,newcapa,residential,0
322,2060,R1,2025,gasboiler,A2,retrofit,residential,0
323,2040,R1,2030,windturbine,A1,newcapa,power,0
324,2030,R1,2025,gasboiler,A2,retrofit,residential,0
325,2035,R1,2030,heatpump,A1,retrofit,residential,0.544576034
326,2060,R1,2060,gasboiler,A2,retrofit,residential,0
327,2025,R1,2025,gasCCGT,A1,retrofit,power,159.888.924.121
328,2040,R1,2040,gasboiler,A1,newcapa,residential,0
329,2060,R1,2050,gasboiler,A3,newcapa,residential,0
330,2050,R1,2025,windturbine,A1,newcapa,power,0
331,2055,R1,2045,gasboiler,A3,newcapa,residential,0
332,2035,R1,2035,gasboiler,A1,newcapa,residential,0
333,2045,R1,2045,gasboiler,A3,newcapa,residential,0
334,2060,R1,2025,gasboiler,A3,newcapa,residential,0
335,2050,R1,2040,gasboiler,A1,retrofit,residential,0.216603982
336,2040,R1,2040,gasboiler,A1,retrofit,residential,0
337,2060,R1,2025,gasCCGT,A1,retrofit,power,0
338,2035,R1,2035,gasboiler,A3,retrofit,residential,0
339,2030,R1,2030,heatpump,A2,newcapa,residential,0
340,2050,R1,2040,gasboiler,A3,newcapa,residential,0
341,2055,R1,2045,gasboiler,A2,retrofit,residential,0
342,2030,R1,2030,gasboiler,A3,retrofit,residential,0
343,2035,R1,2030,windturbine,A1,newcapa,power,0
344,2050,R1,2035,gasboiler,A2,newcapa,residential,0
345,2035,R1,2030,heatpump,A1,retrofit,residential,0
346,2050,R1,2045,gasboiler,A3,newcapa,residential,0
347,2060,R1,2050,gasboiler,A2,newcapa,residential,0
348,2040,R1,2035,gasboiler,A2,retrofit,residential,0.770668544
349,2040,R1,2025,gasCCGT,A1,newcapa,power,0
350,2030,R1,2025,gasboiler,A2,retrofit,residential,0.914168969
351,2035,R1,2025,windturbine,A1,retrofit,power,0
352,2050,R1,2040,gasboiler,A2,retrofit,residential,0
353,2045,R1,2040,gasboiler,A2,retrofit,residential,0
354,2030,R1,2030,heatpump,A1,retrofit,residential,0
355,2055,R1,2025,gasboiler,A1,newcapa,residential,0
356,2025,R1,2025,gasboiler,A3,retrofit,residential,0
357,2055,R1,2025,gasboiler,A1,retrofit,residential,1.28E-05
358,2050,R1,2045,gasboiler,A1,newcapa,residential,0
359,2025,R1,2025,gasboiler,A3,retrofit,residential,0
360,2060,R1,2025,gasboiler,A1,newcapa,residential,0
361,2050,R1,2035,gasboiler,A3,newcapa,residential,0
362,2045,R1,2025,gasCCGT,A1,newcapa,power,0
363,2040,R1,2025,gasboiler,A2,retrofit,residential,2.64E-09
364,2050,R1,2040,gasboiler,A3,newcapa,residential,0
365,2055,R1,2030,windturbine,A1,newcapa,power,0
366,2040,R1,2035,gasboiler,A1,retrofit,residential,812.666.849.685
367,2060,R1,2035,gasboiler,A1,newcapa,residential,0
368,2040,R1,2035,gasboiler,A1,retrofit,residential,0.307935572
369,2035,R1,2035,gasboiler,A3,newcapa,residential,0
370,2045,R1,2025,windturbine,A1,newcapa,power,0
371,2060,R1,2055,gasboiler,A3,newcapa,residential,0
372,2055,R1,2050,gasboiler,A2,newcapa,residential,0
373,2030,R1,2025,gasCCGT,A1,newcapa,power,0
374,2050,R1,2035,gasboiler,A2,newcapa,residential,0
375,2035,R1,2025,gasboiler,A2,retrofit,residential,0
376,2050,R1,2045,gasboiler,A2,newcapa,residential,0
