,year,commodity,region,installed,technology,agent,category,sector,supply
359,2060,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
360,2040,heat,R1,2030,gasboiler,A3,retrofit,residential,0.4515
361,2055,CO2f,R1,2050,gassupply2,A1,retrofit,gas,321.592.925.901
362,2025,electricity,R1,2025,gasCCGT,A1,retrofit,power,0.0675
363,2045,CO2f,R1,2025,gasboiler,A2,retrofit,residential,3.69E-03
364,2045,CO2f,R1,2025,gasboiler,A1,retrofit,residential,4.92E-04
365,2025,electricity,R1,2025,gasCCGT,A1,retrofit,power,0.0675
366,2045,CO2f,R1,2040,gasboiler,A2,retrofit,residential,11.356.605
367,2025,heat,R1,2025,gasboiler,A1,retrofit,residential,0.266
368,2045,heat,R1,2040,gasboiler,A3,retrofit,residential,0.1755
369,2025,CO2f,R1,2025,gasCCGT,A1,retrofit,power,6.187.725
370,2045,heat,R1,2035,gasboiler,A2,retrofit,residential,0.249499997
371,2050,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
372,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,8.55E-09
373,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.673499991
374,2035,heat,R1,2030,heatpump,A2,retrofit,residential,0.22575
375,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.067499987
376,2025,heat,R1,2025,heatpump,A1,retrofit,residential,0.334666667
377,2055,CO2f,R1,2050,gassupply2,A1,retrofit,gas,241.194.694.426
378,2055,CO2f,R1,2050,gasboiler,A1,retrofit,residential,4.542.642
379,2060,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
380,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,0.365999996
381,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
382,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
383,2060,heat,R1,2050,gasboiler,A1,retrofit,residential,0.702
384,2035,electricity,R1,2030,windturbine,A1,retrofit,power,0.096532544
385,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.200666667
386,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.301
387,2050,heat,R1,2040,gasboiler,A3,retrofit,residential,0.5265
388,2045,CO2f,R1,2025,gasboiler,A3,retrofit,residential,5.53E-03
389,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,10.828.396.134
390,2040,CO2f,R1,2030,gasboiler,A3,retrofit,residential,29.216.565
391,2045,heat,R1,2040,gasboiler,A3,retrofit,residential,0.351
392,2025,CO2f,R1,2025,gassupply1,A1,retrofit,gas,261.275.476.432
393,2045,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
394,2050,CO2f,R1,2040,gasboiler,A1,retrofit,residential,1.514.214
395,2060,CO2f,R1,2050,gasboiler,A3,retrofit,residential,170.349.075
396,2050,CO2f,R1,2040,gasboiler,A1,retrofit,residential,2.271.321
397,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.325
398,2040,CO2f,R1,2035,gasboiler,A2,retrofit,residential,1.614.514.481.558
399,2060,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
400,2050,CO2f,R1,2040,gasboiler,A3,retrofit,residential,2.271.321
401,2035,heat,R1,2030,heatpump,A2,retrofit,residential,0.1505
402,2040,CO2f,R1,2035,gasboiler,A1,retrofit,residential,6.458.057.926.231
403,2055,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
404,2030,CO2f,R1,2025,gasCCGT,A1,retrofit,power,2.48E-01
405,2055,CO2f,R1,2045,gasboiler,A2,retrofit,residential,5.328.868.444.673
406,2060,gas,R1,2055,gassupply1,A1,retrofit,gas,199.455.004.509
407,2060,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
408,2035,heat,R1,2030,heatpump,A2,retrofit,residential,0.1505
409,2060,CO2f,R1,2050,gassupply1,A1,retrofit,gas,27.558.039.546
410,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
411,2050,CO2f,R1,2040,gasboiler,A2,retrofit,residential,170.349.075
412,2050,heat,R1,2045,gasboiler,A1,retrofit,residential,0.365999996
413,2050,CO2f,R1,2045,gasboiler,A1,retrofit,residential,3.552.578.963.115
414,2040,CO2f,R1,2035,gasboiler,A1,retrofit,residential,430.537.195.082
415,2050,CO2f,R1,2040,gasboiler,A2,retrofit,residential,11.356.605
416,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,0.224499997
417,2055,CO2f,R1,2045,gasboiler,A2,retrofit,residential,3.552.578.963.115
418,2050,heat,R1,2045,gasboiler,A3,retrofit,residential,0.274499997
419,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,0.29933333
420,2050,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
421,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
422,2060,CO2f,R1,2055,gasboiler,A2,retrofit,residential,5.328.868.444.673
423,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.4515
424,2055,gas,R1,2050,gassupply2,A1,retrofit,gas,0.262724977
425,2030,electricity,R1,2025,gasCCGT,A1,retrofit,power,2.70E-08
426,2055,heat,R1,2050,gasboiler,A2,retrofit,residential,0.5265
427,2040,electricity,R1,2030,windturbine,A1,retrofit,power,0.144798816
428,2060,CO2f,R1,2025,gasboiler,A2,retrofit,residential,5.53E-03
429,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,0.598666659
430,2035,CO2f,R1,2025,gassupply1,A1,retrofit,gas,0.721893076
431,2045,CO2f,R1,2035,gasboiler,A3,retrofit,residential,4.843.543.444.673
432,2045,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
433,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
434,2060,CO2f,R1,2025,gasboiler,A3,retrofit,residential,3.69E-03
435,2040,heat,R1,2035,gasboiler,A3,retrofit,residential,0.249499997
436,2040,electricity,R1,2025,gasCCGT,A1,retrofit,power,1.77E-05
437,2055,heat,R1,2050,gasboiler,A1,retrofit,residential,0.702
438,2045,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
439,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,157.932.828.135
440,2055,CO2f,R1,2050,gassupply1,A1,retrofit,gas,13.779.019.773
441,2055,CO2f,R1,2025,gasboiler,A2,retrofit,residential,3.69E-03
442,2055,heat,R1,2050,gasboiler,A3,retrofit,residential,0.351
443,2045,gas,R1,2040,gassupply1,A1,retrofit,gas,107.514.998.497
444,2060,heat,R1,2025,gasboiler,A3,retrofit,residential,8.55E-09
445,2025,heat,R1,2025,gasboiler,A1,retrofit,residential,0.399
446,2055,CO2f,R1,2050,gassupply1,A1,retrofit,gas,206.685.296.595
447,2040,CO2f,R1,2025,gasCCGT,A1,retrofit,power,8.12E-03
448,2055,heat,R1,2050,gasboiler,A1,retrofit,residential,0.351
449,2045,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
450,2030,electricity,R1,2025,gasCCGT,A1,retrofit,power,1.80E-08
451,2050,heat,R1,2045,gasboiler,A3,retrofit,residential,0.823499991
452,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,4.358.218.444.673
453,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,0.548999994
454,2060,CO2f,R1,2055,gasboiler,A1,retrofit,residential,3.552.578.963.115
455,2055,gas,R1,2050,gassupply1,A1,retrofit,gas,1.35
456,2055,heat,R1,2050,gasboiler,A2,retrofit,residential,0.26325
457,2060,CO2f,R1,2025,gasboiler,A2,retrofit,residential,3.69E-03
458,2040,heat,R1,2030,gasboiler,A3,retrofit,residential,0.1505
459,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.125500003
460,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.251000006
461,2040,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
462,2040,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
463,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,812.110.518.442
464,2055,CO2f,R1,2025,gasboiler,A2,retrofit,residential,5.53E-03
465,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.014396739
466,2055,heat,R1,2050,gasboiler,A1,retrofit,residential,0.468
467,2035,CO2f,R1,2030,gasboiler,A3,retrofit,residential,29.216.565
468,2025,CO2f,R1,2025,gasCCGT,A1,retrofit,power,82.503
469,2025,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.103.075
470,2025,CO2f,R1,2025,gassupply1,A1,retrofit,gas,522.550.952.865
471,2045,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
472,2025,electricity,R1,2025,windturbine,A1,retrofit,power,0.021933333
473,2025,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.103.075
474,2040,heat,R1,2030,gasboiler,A3,retrofit,residential,0.22575
475,2050,CO2f,R1,2040,gasboiler,A3,retrofit,residential,34.069.815
476,2060,CO2f,R1,2050,gasboiler,A2,retrofit,residential,11.356.605
477,2050,CO2f,R1,2045,gasboiler,A1,retrofit,residential,3.552.578.963.115
478,2045,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
479,2050,heat,R1,2040,gasboiler,A1,retrofit,residential,0.468
480,2055,heat,R1,2045,gasboiler,A2,retrofit,residential,0.823499991
481,2035,electricity,R1,2025,gasCCGT,A1,retrofit,power,1.77E-05
482,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.179.109.222.336
483,2050,CO2f,R1,2040,gasboiler,A1,retrofit,residential,1.514.214
484,2060,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
485,2035,CO2f,R1,2025,gassupply1,A1,retrofit,gas,0.721893076
486,2060,CO2f,R1,2050,gassupply1,A1,retrofit,gas,206.685.296.595
487,2045,gas,R1,2040,gassupply1,A1,retrofit,gas,107.514.998.497
488,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,1.031.565
489,2025,gas,R1,2025,gassupply1,A1,retrofit,gas,1.706.565
490,2055,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
491,2050,CO2f,R1,2045,gasboiler,A1,retrofit,residential,236.838.597.541
492,2055,gas,R1,2045,gassupply1,A1,retrofit,gas,0.997275023
493,2060,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
494,2055,CO2f,R1,2025,gasboiler,A1,retrofit,residential,4.92E-04
495,2050,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
496,2055,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
497,2060,CO2f,R1,2055,gasboiler,A3,retrofit,residential,2.664.434.222.336
498,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.088612132
499,2050,gas,R1,2040,gassupply1,A1,retrofit,gas,215.029.996.994
500,2050,gas,R1,2040,gassupply1,A1,retrofit,gas,107.514.998.497
501,2040,CO2f,R1,2030,gassupply1,A1,retrofit,gas,13.116.019.153
502,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,812.110.518.442
503,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.68771
504,2050,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
505,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.905.478.963.115
506,2050,CO2f,R1,2040,gasboiler,A1,retrofit,residential,4.542.642
507,2040,CO2f,R1,2030,gasboiler,A3,retrofit,residential,9.738.855
508,2035,electricity,R1,2030,windturbine,A1,retrofit,power,0.096532544
509,2040,gas,R1,2030,gassupply1,A1,retrofit,gas,171.338.998.451
510,2060,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
511,2025,electricity,R1,2025,windturbine,A1,retrofit,power,0.0329
512,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
513,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.905.478.963.115
514,2045,heat,R1,2035,gasboiler,A1,retrofit,residential,0.498999994
515,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,10.528.855.209
516,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.014396739
517,2050,CO2f,R1,2045,gasboiler,A3,retrofit,residential,3.552.578.963.115
518,2055,heat,R1,2050,gasboiler,A3,retrofit,residential,0.26325
519,2040,CO2f,R1,2035,gassupply1,A1,retrofit,gas,173.977.990.929
520,2025,heat,R1,2025,heatpump,A1,retrofit,residential,0.167333333
521,2060,heat,R1,2050,gasboiler,A1,retrofit,residential,0.351
522,2060,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
523,2040,CO2f,R1,2035,gassupply1,A1,retrofit,gas,260.966.986.393
524,2060,heat,R1,2050,gasboiler,A2,retrofit,residential,0.351
525,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,4.28E-09
526,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,0.224499997
527,2045,gas,R1,2040,gassupply1,A1,retrofit,gas,322.544.995.491
528,2060,heat,R1,2025,gasboiler,A2,retrofit,residential,8.55E-09
529,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,812.110.518.442
530,2025,electricity,R1,2025,gasCCGT,A1,retrofit,power,0.045
531,2045,heat,R1,2035,gasboiler,A3,retrofit,residential,0.498999994
532,2045,CO2f,R1,2040,gassupply1,A1,retrofit,gas,329.211.397.819
533,2060,CO2f,R1,2050,gasboiler,A3,retrofit,residential,34.069.815
534,2035,CO2f,R1,2025,gasCCGT,A1,retrofit,power,8.12E-03
535,2060,CO2f,R1,2055,gasboiler,A1,retrofit,residential,473.677.195.082
536,2060,CO2f,R1,2050,gassupply2,A1,retrofit,gas,321.592.925.901
537,2040,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
538,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.043190218
539,2050,heat,R1,2045,gasboiler,A1,retrofit,residential,0.548999994
540,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.125500003
541,2050,heat,R1,2045,gasboiler,A3,retrofit,residential,0.548999994
542,2055,gas,R1,2045,gassupply1,A1,retrofit,gas,132.970.003.006
543,2045,CO2f,R1,2040,gasboiler,A1,retrofit,residential,2.271.321
544,2050,heat,R1,2025,gasboiler,A2,retrofit,residential,8.55E-09
545,2045,heat,R1,2040,gasboiler,A1,retrofit,residential,0.351
546,2055,heat,R1,2045,gasboiler,A3,retrofit,residential,0.274499997
547,2025,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.581.929
548,2060,CO2f,R1,2055,gassupply1,A1,retrofit,gas,305.366.050.106
549,2060,CO2f,R1,2050,gasboiler,A1,retrofit,residential,1.514.214
550,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,10.528.855.209
551,2040,electricity,R1,2025,gasCCGT,A1,retrofit,power,5.91E-09
552,2045,CO2f,R1,2040,gasboiler,A1,retrofit,residential,1.514.214
553,2060,CO2f,R1,2055,gasboiler,A1,retrofit,residential,236.838.597.541
554,2040,electricity,R1,2030,windturbine,A1,retrofit,power,0.193065088
555,2040,electricity,R1,2030,windturbine,A1,retrofit,power,0.144798816
556,2045,gas,R1,2035,gassupply1,A1,retrofit,gas,0.568183348
557,2055,heat,R1,2050,gasboiler,A2,retrofit,residential,0.1755
558,2045,CO2f,R1,2035,gassupply1,A1,retrofit,gas,0.869889955
559,2035,gas,R1,2030,gassupply1,A1,retrofit,gas,0.856694992
560,2025,CO2f,R1,2025,gasboiler,A2,retrofit,residential,31.546.125
561,2045,heat,R1,2035,gasboiler,A1,retrofit,residential,0.332666663
562,2030,electricity,R1,2025,gasCCGT,A1,retrofit,power,1.35E-08
563,2035,electricity,R1,2030,windturbine,A1,retrofit,power,0.144798816
564,2040,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
565,2060,CO2f,R1,2050,gassupply2,A1,retrofit,gas,482.389.388.852
566,2055,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
567,2035,heat,R1,2030,gasboiler,A3,retrofit,residential,0.22575
568,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.044306066
569,2050,heat,R1,2040,gasboiler,A3,retrofit,residential,0.26325
570,2060,heat,R1,2050,gasboiler,A2,retrofit,residential,0.26325
571,2035,gas,R1,2025,gassupply1,A1,retrofit,gas,141.455.004.509
572,2055,CO2f,R1,2050,gassupply2,A1,retrofit,gas,482.389.388.852
573,2055,heat,R1,2025,gasboiler,A3,retrofit,residential,5.70E-09
574,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,4.358.218.444.673
575,2050,heat,R1,2040,gasboiler,A1,retrofit,residential,0.234
576,2040,electricity,R1,2025,gasCCGT,A1,retrofit,power,8.86E-09
577,2040,heat,R1,2025,gasboiler,A1,retrofit,residential,7.60E-09
578,2060,CO2f,R1,2025,gasboiler,A3,retrofit,residential,5.53E-03
579,2030,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.65E-01
580,2035,gas,R1,2025,gassupply1,A1,retrofit,gas,0.471516682
581,2060,heat,R1,2055,gasboiler,A2,retrofit,residential,0.411749996
582,2060,heat,R1,2050,gasboiler,A1,retrofit,residential,0.234
583,2055,CO2f,R1,2045,gasboiler,A2,retrofit,residential,1.776.289.481.558
584,2050,heat,R1,2045,gasboiler,A2,retrofit,residential,0.411749996
585,2055,gas,R1,2045,gassupply1,A1,retrofit,gas,0.664850015
586,2040,CO2f,R1,2030,gassupply1,A1,retrofit,gas,0.874401277
587,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.4875
588,2055,CO2f,R1,2050,gasboiler,A2,retrofit,residential,170.349.075
589,2045,heat,R1,2040,gasboiler,A1,retrofit,residential,0.351
590,2055,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
591,2025,heat,R1,2025,gasboiler,A3,retrofit,residential,0.325
592,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.134999973
593,2040,CO2f,R1,2035,gassupply1,A1,retrofit,gas,0.869889955
594,2060,heat,R1,2050,gasboiler,A3,retrofit,residential,0.1755
595,2055,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
596,2055,CO2f,R1,2045,gasboiler,A1,retrofit,residential,236.838.597.541
597,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.448999994
598,2055,gas,R1,2050,gassupply2,A1,retrofit,gas,0.175149985
599,2055,CO2f,R1,2050,gassupply1,A1,retrofit,gas,13.779.019.773
600,2040,heat,R1,2025,gasboiler,A2,retrofit,residential,5.70E-09
601,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
602,2025,heat,R1,2025,gasboiler,A1,retrofit,residential,0.266
603,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
604,2040,CO2f,R1,2035,gasboiler,A3,retrofit,residential,1.614.514.481.558
605,2035,CO2f,R1,2025,gasCCGT,A1,retrofit,power,8.12E-03
606,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.188250004
607,2055,CO2f,R1,2050,gasboiler,A1,retrofit,residential,1.514.214
608,2040,CO2f,R1,2035,gasboiler,A2,retrofit,residential,2.421.771.722.336
609,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.179.109.222.336
610,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
611,2040,CO2f,R1,2030,gassupply1,A1,retrofit,gas,0.874401277
612,2040,heat,R1,2030,gasboiler,A3,retrofit,residential,0.301
613,2050,CO2f,R1,2045,gassupply1,A1,retrofit,gas,101.788.683.369
614,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.021933333
615,2035,gas,R1,2030,gassupply1,A1,retrofit,gas,171.338.998.451
616,2040,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
617,2035,CO2f,R1,2030,gassupply1,A1,retrofit,gas,174.880.255.373
618,2055,heat,R1,2050,gasboiler,A3,retrofit,residential,0.26325
619,2055,CO2f,R1,2050,gasboiler,A1,retrofit,residential,1.514.214
620,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.4875
621,2035,CO2f,R1,2030,gasboiler,A3,retrofit,residential,146.082.825
622,2050,CO2f,R1,2040,gassupply1,A1,retrofit,gas,329.211.397.819
623,2035,heat,R1,2030,heatpump,A1,retrofit,residential,0.301
624,2025,heat,R1,2025,gasboiler,A3,retrofit,residential,0.65
625,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,193.698.597.541
626,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.452.739.481.558
627,2050,CO2f,R1,2040,gasboiler,A2,retrofit,residential,11.356.605
628,2025,CO2f,R1,2025,gasboiler,A3,retrofit,residential,420.615
629,2025,heat,R1,2025,heatpump,A1,retrofit,residential,0.251
630,2045,CO2f,R1,2040,gassupply1,A1,retrofit,gas,493.817.096.728
631,2025,CO2f,R1,2025,gasboiler,A2,retrofit,residential,420.615
632,2060,heat,R1,2050,gasboiler,A2,retrofit,residential,0.1755
633,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.452.739.481.558
634,2050,heat,R1,2040,gasboiler,A1,retrofit,residential,0.351
635,2045,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
636,2040,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
637,2045,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
638,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,10.979.999.886
639,2035,electricity,R1,2030,windturbine,A1,retrofit,power,0.289597632
640,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,387.397.195.082
641,2050,heat,R1,2045,gasboiler,A3,retrofit,residential,0.411749996
642,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.975
643,2030,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.24E-01
644,2060,CO2f,R1,2055,gasboiler,A3,retrofit,residential,2.664.434.222.336
645,2055,gas,R1,2050,gassupply1,A1,retrofit,gas,0.9
646,2025,heat,R1,2025,gasboiler,A1,retrofit,residential,0.532
647,2025,CO2f,R1,2025,gassupply1,A1,retrofit,gas,174.183.650.955
648,2025,electricity,R1,2025,gasCCGT,A1,retrofit,power,0.09
649,2060,heat,R1,2055,gasboiler,A3,retrofit,residential,0.411749996
650,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,0.448999994
651,2045,heat,R1,2035,gasboiler,A1,retrofit,residential,0.997999989
652,2045,gas,R1,2040,gassupply1,A1,retrofit,gas,161.272.497.745
653,2060,heat,R1,2050,gasboiler,A2,retrofit,residential,0.26325
654,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
655,2060,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
656,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
657,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.471516682
658,2045,heat,R1,2035,gasboiler,A3,retrofit,residential,0.249499997
659,2055,CO2f,R1,2050,gasboiler,A1,retrofit,residential,2.271.321
660,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.028793479
661,2050,CO2f,R1,2045,gassupply1,A1,retrofit,gas,203.577.366.737
662,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.452.739.481.558
663,2045,gas,R1,2035,gassupply1,A1,retrofit,gas,0.852275023
664,2045,CO2f,R1,2040,gasboiler,A1,retrofit,residential,2.271.321
665,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.22575
666,2060,gas,R1,2055,gassupply1,A1,retrofit,gas,0.997275023
667,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.179.109.222.336
668,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,0.721893076
669,2025,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.442.572
670,2035,gas,R1,2025,gassupply1,A1,retrofit,gas,0.943033363
671,2040,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
672,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.436.331.555.327
673,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.301
674,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,137.542
675,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.336749996
676,2060,CO2f,R1,2050,gasboiler,A1,retrofit,residential,2.271.321
677,2045,heat,R1,2040,gasboiler,A3,retrofit,residential,0.1755
678,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.452.739.481.558
679,2055,CO2f,R1,2045,gasboiler,A3,retrofit,residential,5.328.868.444.673
680,2050,CO2f,R1,2040,gasboiler,A3,retrofit,residential,11.356.605
681,2040,CO2f,R1,2035,gasboiler,A3,retrofit,residential,4.843.543.444.673
682,2055,CO2f,R1,2045,gasboiler,A2,retrofit,residential,1.776.289.481.558
683,2060,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
684,2030,heat,R1,2025,heatpump,A1,retrofit,residential,0.167333333
685,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.905.478.963.115
686,2055,heat,R1,2045,gasboiler,A2,retrofit,residential,0.548999994
687,2060,heat,R1,2050,gasboiler,A1,retrofit,residential,0.468
688,2045,CO2f,R1,2040,gassupply1,A1,retrofit,gas,164.605.698.909
689,2045,heat,R1,2040,gasboiler,A2,retrofit,residential,0.351
690,2050,CO2f,R1,2040,gassupply1,A1,retrofit,gas,246.908.548.364
691,2050,CO2f,R1,2040,gasboiler,A3,retrofit,residential,170.349.075
692,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.1505
693,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.200666667
694,2055,CO2f,R1,2045,gassupply1,A1,retrofit,gas,101.788.683.369
695,2040,heat,R1,2035,gasboiler,A2,retrofit,residential,0.249499997
696,2035,electricity,R1,2025,gasCCGT,A1,retrofit,power,5.91E-09
697,2050,heat,R1,2040,gasboiler,A2,retrofit,residential,0.1755
698,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,0.852275023
699,2045,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
700,2055,CO2f,R1,2050,gassupply1,A1,retrofit,gas,206.685.296.595
701,2035,CO2f,R1,2025,gassupply1,A1,retrofit,gas,10.828.396.134
702,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
703,2060,CO2f,R1,2055,gassupply1,A1,retrofit,gas,152.683.025.053
704,2060,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
705,2035,electricity,R1,2025,gasCCGT,A1,retrofit,power,1.18E-05
706,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.65
707,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.224499997
708,2055,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
709,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,0.365999996
710,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.224499997
711,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.905.478.963.115
712,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,0.673499991
713,2025,heat,R1,2025,heatpump,A1,retrofit,residential,0.251
714,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
715,2045,CO2f,R1,2040,gasboiler,A1,retrofit,residential,4.542.642
716,2040,heat,R1,2035,gasboiler,A2,retrofit,residential,0.249499997
717,2045,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
718,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.471516682
719,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.218.165.777.664
720,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,0.852275023
721,2040,CO2f,R1,2035,gasboiler,A2,retrofit,residential,2.421.771.722.336
