,year,commodity,region,installed,technology,agent,category,sector,supply
83,2045,heat,R1,2035,gasboiler,A2,retrofit,residential,0.374249996
84,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.021595109
85,2040,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
86,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.452.739.481.558
87,2045,CO2f,R1,2040,gassupply1,A1,retrofit,gas,246.908.548.364
88,2050,gas,R1,2040,gassupply1,A1,retrofit,gas,322.544.995.491
89,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,4.28E-09
90,2040,heat,R1,2035,gasboiler,A3,retrofit,residential,0.748499991
91,2050,heat,R1,2045,gasboiler,A1,retrofit,residential,0.731999992
92,2060,CO2f,R1,2050,gasboiler,A1,retrofit,residential,1.514.214
93,2040,CO2f,R1,2030,gasboiler,A3,retrofit,residential,146.082.825
94,2060,gas,R1,2050,gassupply1,A1,retrofit,gas,1.35
95,2050,heat,R1,2025,gasboiler,A3,retrofit,residential,8.55E-09
96,2045,CO2f,R1,2040,gasboiler,A2,retrofit,residential,170.349.075
97,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.179.109.222.336
98,2040,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.08E-01
99,2045,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
100,2035,CO2f,R1,2030,gasboiler,A3,retrofit,residential,9.738.855
101,2045,CO2f,R1,2025,gasboiler,A3,retrofit,residential,3.69E-03
102,2045,heat,R1,2035,gasboiler,A2,retrofit,residential,0.249499997
103,2060,CO2f,R1,2055,gasboiler,A1,retrofit,residential,3.552.578.963.115
104,2050,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
105,2035,heat,R1,2030,heatpump,A2,retrofit,residential,0.4515
106,2060,CO2f,R1,2055,gasboiler,A2,retrofit,residential,2.664.434.222.336
107,2055,heat,R1,2050,gasboiler,A3,retrofit,residential,0.5265
108,2055,heat,R1,2045,gasboiler,A1,retrofit,residential,10.979.999.886
109,2050,gas,R1,2045,gassupply1,A1,retrofit,gas,0.664850015
110,2035,CO2f,R1,2030,gassupply1,A1,retrofit,gas,0.874401277
111,2030,heat,R1,2025,heatpump,A1,retrofit,residential,0.251
112,2050,heat,R1,2045,gasboiler,A1,retrofit,residential,10.979.999.886
113,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,0.448999994
114,2055,heat,R1,2050,gasboiler,A1,retrofit,residential,0.234
115,2045,gas,R1,2040,gassupply1,A1,retrofit,gas,161.272.497.745
116,2040,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
117,2040,CO2f,R1,2025,gasboiler,A2,retrofit,residential,3.69E-03
118,2040,CO2f,R1,2025,gasboiler,A1,retrofit,residential,4.92E-04
119,2055,CO2f,R1,2045,gassupply1,A1,retrofit,gas,152.683.025.053
120,2045,heat,R1,2035,gasboiler,A3,retrofit,residential,0.249499997
121,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
122,2060,CO2f,R1,2055,gasboiler,A2,retrofit,residential,1.776.289.481.558
123,2060,gas,R1,2050,gassupply1,A1,retrofit,gas,0.9
124,2045,heat,R1,2040,gasboiler,A2,retrofit,residential,0.1755
125,2060,CO2f,R1,2025,gasboiler,A1,retrofit,residential,4.92E-04
126,2055,CO2f,R1,2045,gassupply1,A1,retrofit,gas,305.366.050.106
127,2040,CO2f,R1,2035,gasboiler,A3,retrofit,residential,3.229.028.963.115
128,2035,heat,R1,2030,heatpump,A1,retrofit,residential,0.200666667
129,2060,gas,R1,2055,gassupply1,A1,retrofit,gas,132.970.003.006
130,2045,CO2f,R1,2035,gassupply1,A1,retrofit,gas,130.483.493.196
131,2055,gas,R1,2050,gassupply1,A1,retrofit,gas,1.8
132,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
133,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,0.721893076
134,2030,electricity,R1,2025,gasCCGT,A1,retrofit,power,9.00E-09
135,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,0.568183348
136,2040,heat,R1,2035,gasboiler,A2,retrofit,residential,0.374249996
137,2040,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
138,2050,heat,R1,2040,gasboiler,A2,retrofit,residential,0.1755
139,2060,gas,R1,2050,gassupply2,A1,retrofit,gas,0.175149985
140,2060,CO2f,R1,2050,gassupply2,A1,retrofit,gas,160.796.462.951
141,2050,gas,R1,2045,gassupply1,A1,retrofit,gas,199.455.004.509
142,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.251000006
143,2055,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
144,2055,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
145,2055,heat,R1,2045,gasboiler,A1,retrofit,residential,0.365999996
146,2060,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
147,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,0.897999989
148,2055,heat,R1,2045,gasboiler,A1,retrofit,residential,0.548999994
149,2035,electricity,R1,2025,gasCCGT,A1,retrofit,power,8.86E-09
150,2055,heat,R1,2045,gasboiler,A2,retrofit,residential,0.411749996
151,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,4.28E-09
152,2040,CO2f,R1,2035,gasboiler,A1,retrofit,residential,3.229.028.963.115
153,2045,CO2f,R1,2025,gasboiler,A2,retrofit,residential,5.53E-03
154,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.624.221.036.885
155,2035,CO2f,R1,2030,gasboiler,A3,retrofit,residential,146.082.825
156,2050,heat,R1,2045,gasboiler,A3,retrofit,residential,0.274499997
157,2045,heat,R1,2040,gasboiler,A3,retrofit,residential,0.26325
158,2045,CO2f,R1,2035,gasboiler,A2,retrofit,residential,4.843.543.444.673
159,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.448999994
160,2040,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
161,2060,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
162,2060,CO2f,R1,2050,gasboiler,A2,retrofit,residential,170.349.075
163,2060,heat,R1,2055,gasboiler,A2,retrofit,residential,0.274499997
164,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.089999982
165,2055,gas,R1,2045,gassupply1,A1,retrofit,gas,199.455.004.509
166,2055,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
167,2040,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.62E-01
168,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,4.92E-04
169,2030,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.24E-01
170,2040,heat,R1,2035,gasboiler,A2,retrofit,residential,0.748499991
171,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
172,2050,CO2f,R1,2045,gasboiler,A1,retrofit,residential,473.677.195.082
173,2055,gas,R1,2050,gassupply2,A1,retrofit,gas,0.175149985
174,2055,heat,R1,2045,gasboiler,A3,retrofit,residential,0.411749996
175,2045,heat,R1,2025,gasboiler,A2,retrofit,residential,5.70E-09
176,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,3.69E-03
177,2025,heat,R1,2025,heatpump,A1,retrofit,residential,0.167333333
178,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,1.14E-08
179,2050,CO2f,R1,2045,gasboiler,A1,retrofit,residential,236.838.597.541
180,2045,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
181,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
182,2050,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
183,2050,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
184,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.014396739
185,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.336749996
186,2045,CO2f,R1,2035,gassupply1,A1,retrofit,gas,260.966.986.393
187,2055,CO2f,R1,2045,gasboiler,A1,retrofit,residential,473.677.195.082
188,2060,CO2f,R1,2055,gasboiler,A3,retrofit,residential,5.328.868.444.673
189,2040,heat,R1,2035,gasboiler,A3,retrofit,residential,0.374249996
190,2060,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
191,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
192,2050,CO2f,R1,2040,gassupply1,A1,retrofit,gas,164.605.698.909
193,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.218.165.777.664
194,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,141.455.004.509
195,2060,heat,R1,2025,gasboiler,A2,retrofit,residential,5.70E-09
196,2025,gas,R1,2025,gassupply1,A1,retrofit,gas,227.542
197,2045,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
198,2055,CO2f,R1,2050,gasboiler,A3,retrofit,residential,170.349.075
199,2060,heat,R1,2055,gasboiler,A3,retrofit,residential,0.411749996
200,2045,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
201,2045,CO2f,R1,2035,gasboiler,A1,retrofit,residential,430.537.195.082
202,2060,CO2f,R1,2050,gasboiler,A3,retrofit,residential,11.356.605
203,2040,CO2f,R1,2025,gasCCGT,A1,retrofit,power,5.42E-03
204,2055,CO2f,R1,2025,gasboiler,A3,retrofit,residential,3.69E-03
205,2055,gas,R1,2050,gassupply1,A1,retrofit,gas,2.7
206,2050,CO2f,R1,2045,gasboiler,A2,retrofit,residential,1.776.289.481.558
207,2055,heat,R1,2045,gasboiler,A2,retrofit,residential,0.411749996
208,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
209,2040,CO2f,R1,2035,gassupply1,A1,retrofit,gas,0.869889955
210,2035,heat,R1,2030,heatpump,A1,retrofit,residential,0.200666667
211,2045,gas,R1,2035,gassupply1,A1,retrofit,gas,113.636.669.673
212,2025,gas,R1,2025,gassupply1,A1,retrofit,gas,113.771
213,2060,heat,R1,2050,gasboiler,A3,retrofit,residential,0.351
214,2045,CO2f,R1,2035,gasboiler,A3,retrofit,residential,2.421.771.722.336
215,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.044999991
216,2045,CO2f,R1,2040,gasboiler,A3,retrofit,residential,2.271.321
217,2050,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
218,2025,heat,R1,2025,gasboiler,A1,retrofit,residential,0.399
219,2040,heat,R1,2025,gasboiler,A1,retrofit,residential,1.14E-08
220,2045,CO2f,R1,2035,gasboiler,A2,retrofit,residential,1.614.514.481.558
221,2050,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
