,year,commodity,region,installed,technology,agent,category,sector,consumption
377,2035,gas,R1,2024,gasboiler,A1,retrofit,residential,1.32E-05
378,2040,gas,R1,2035,gasboiler,A3,retrofit,residential,0.434129995
379,2060,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
380,2055,gas,R1,2045,gasboiler,A1,retrofit,residential,0.424559996
381,2040,gas,R1,2024,gasCCGT,A1,retrofit,power,2.96E-08
382,2040,electricity,R1,2030,heatpump,A2,retrofit,residential,0.0602
383,2025,gas,R1,2024,gasboiler,A2,retrofit,residential,0.377
384,2060,gas,R1,2055,gasboiler,A3,retrofit,residential,0.477629995
385,2040,gas,R1,2035,gasboiler,A1,retrofit,residential,0.578839993
386,2045,gas,R1,2035,gasboiler,A1,retrofit,residential,0.578839993
387,2040,gas,R1,2035,gasboiler,A2,retrofit,residential,0.289419997
388,2040,gas,R1,2024,gasCCGT,A1,retrofit,power,1.48E-08
389,2040,wind,R1,2030,windturbine,A1,retrofit,power,0.144798816
390,2045,gas,R1,2035,gasboiler,A2,retrofit,residential,0.289419997
391,2045,gas,R1,2035,gasboiler,A2,retrofit,residential,0.434129995
392,2025,gas,R1,2024,gasboiler,A1,retrofit,residential,0.46284
393,2040,gas,R1,2024,gasboiler,A1,retrofit,residential,8.82E-09
394,2025,gas,R1,2024,gasboiler,A1,retrofit,residential,0.30856
395,2060,gas,R1,2055,gasboiler,A2,retrofit,residential,0.95525999
396,2045,gas,R1,2024,gasboiler,A2,retrofit,residential,6.61E-09
397,2050,gas,R1,2045,gasboiler,A3,retrofit,residential,0.636839993
398,2045,gas,R1,2040,gasboiler,A2,retrofit,residential,0.20358
399,2055,gas,R1,2024,gasboiler,A2,retrofit,residential,6.61E-09
400,2050,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
401,2045,gas,R1,2040,gasboiler,A1,retrofit,residential,0.27144
402,2060,gas,R1,2050,gasboiler,A3,retrofit,residential,0.20358
403,2035,gas,R1,2025,gasboiler,A2,retrofit,residential,0.260419997
404,2030,gas,R1,2025,gasboiler,A3,retrofit,residential,0.390629995
405,2055,gas,R1,2024,gasboiler,A1,retrofit,residential,1.32E-05
406,2045,gas,R1,2040,gasboiler,A2,retrofit,residential,0.40716
407,2025,gas,R1,2024,gasCCGT,A1,retrofit,power,0.22545
408,2025,gas,R1,2024,gasboiler,A1,retrofit,residential,0.46284
409,2045,gas,R1,2040,gasboiler,A1,retrofit,residential,0.27144
410,2040,gas,R1,2035,gasboiler,A2,retrofit,residential,0.434129995
411,2035,gas,R1,2025,gasboiler,A3,retrofit,residential,0.260419997
412,2055,gas,R1,2045,gasboiler,A1,retrofit,residential,0.424559996
413,2035,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
414,2060,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
415,2060,gas,R1,2055,gasboiler,A2,retrofit,residential,0.477629995
416,2035,gas,R1,2024,gasCCGT,A1,retrofit,power,1.97E-05
417,2030,gas,R1,2024,gasboiler,A3,retrofit,residential,0.145580003
418,2030,gas,R1,2025,gasboiler,A2,retrofit,residential,0.78125999
419,2050,gas,R1,2040,gasboiler,A3,retrofit,residential,0.20358
420,2030,gas,R1,2024,gasCCGT,A1,retrofit,power,3.01E-05
421,2060,gas,R1,2024,gasboiler,A3,retrofit,residential,6.61E-09
422,2050,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
423,2035,electricity,R1,2030,heatpump,A2,retrofit,residential,0.0903
424,2030,gas,R1,2024,gasboiler,A1,retrofit,residential,1.32E-05
425,2025,gas,R1,2024,gasboiler,A1,retrofit,residential,0.92568
