,year,commodity,region,installed,technology,agent,category,sector,consumption
87,2040,gas,R1,2024,gasboiler,A2,retrofit,residential,9.92E-09
88,2055,gas,R1,2045,gasboiler,A1,retrofit,residential,127.367.998.678
89,2035,gas,R1,2025,gasboiler,A1,retrofit,residential,104.167.998.678
90,2035,electricity,R1,2030,heatpump,A1,retrofit,residential,0.080266667
91,2050,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
92,2035,gas,R1,2025,gasboiler,A2,retrofit,residential,0.260419997
93,2055,gas,R1,2045,gasboiler,A3,retrofit,residential,0.318419997
94,2040,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
95,2050,gas,R1,2045,gasboiler,A3,retrofit,residential,0.318419997
96,2025,gas,R1,2024,gasCCGT,A1,retrofit,power,0.07515
97,2040,gas,R1,2035,gasboiler,A1,retrofit,residential,0.385893329
98,2060,gas,R1,2055,gasboiler,A3,retrofit,residential,0.636839993
99,2055,gas,R1,2050,gasboiler,A1,retrofit,residential,0.40716
100,2030,gas,R1,2025,gasboiler,A1,retrofit,residential,0.520839993
101,2040,electricity,R1,2030,heatpump,A1,retrofit,residential,0.160533333
102,2035,electricity,R1,2030,heatpump,A2,retrofit,residential,0.1806
103,2055,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
104,2040,wind,R1,2025,windturbine,A1,retrofit,power,0.088612132
105,2055,gas,R1,2045,gasboiler,A2,retrofit,residential,0.95525999
106,2030,wind,R1,2025,windturbine,A1,retrofit,power,0.134999973
107,2035,gas,R1,2024,gasboiler,A1,retrofit,residential,8.82E-09
108,2045,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
109,2060,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
110,2050,gas,R1,2024,gasboiler,A3,retrofit,residential,9.92E-09
111,2035,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
112,2025,wind,R1,2024,windturbine,A1,retrofit,power,0.0658
113,2030,wind,R1,2025,windturbine,A1,retrofit,power,0.044999991
114,2045,gas,R1,2035,gasboiler,A2,retrofit,residential,0.434129995
115,2030,gas,R1,2025,gasboiler,A1,retrofit,residential,0.347226662
116,2055,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
117,2050,gas,R1,2040,gasboiler,A1,retrofit,residential,0.27144
118,2025,gas,R1,2024,gasboiler,A3,retrofit,residential,0.5655
119,2060,gas,R1,2055,gasboiler,A1,retrofit,residential,0.424559996
120,2055,gas,R1,2050,gasboiler,A3,retrofit,residential,0.40716
121,2025,gas,R1,2024,gasboiler,A3,retrofit,residential,0.5655
122,2035,gas,R1,2025,gasboiler,A1,retrofit,residential,0.347226662
123,2050,gas,R1,2045,gasboiler,A3,retrofit,residential,0.95525999
124,2025,electricity,R1,2024,heatpump,A1,retrofit,residential,0.1004
125,2035,gas,R1,2025,gasboiler,A2,retrofit,residential,0.78125999
126,2050,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
127,2055,gas,R1,2050,gasboiler,A1,retrofit,residential,0.40716
128,2040,wind,R1,2025,windturbine,A1,retrofit,power,0.059074755
129,2045,gas,R1,2040,gasboiler,A2,retrofit,residential,0.30537
130,2055,gas,R1,2024,gasboiler,A3,retrofit,residential,6.61E-09
131,2030,electricity,R1,2024,heatpump,A1,retrofit,residential,0.2008
132,2035,gas,R1,2025,gasboiler,A1,retrofit,residential,0.520839993
133,2060,gas,R1,2050,gasboiler,A1,retrofit,residential,0.54288
134,2060,gas,R1,2055,gasboiler,A2,retrofit,residential,0.477629995
135,2025,electricity,R1,2024,heatpump,A1,retrofit,residential,0.066933333
136,2035,wind,R1,2030,windturbine,A1,retrofit,power,0.096532544
137,2050,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
138,2055,gas,R1,2045,gasboiler,A3,retrofit,residential,0.477629995
139,2050,gas,R1,2024,gasboiler,A1,retrofit,residential,1.32E-05
140,2055,gas,R1,2050,gasboiler,A1,retrofit,residential,0.54288
141,2050,gas,R1,2045,gasboiler,A1,retrofit,residential,127.367.998.678
142,2045,gas,R1,2035,gasboiler,A2,retrofit,residential,0.289419997
143,2050,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
144,2050,gas,R1,2045,gasboiler,A2,retrofit,residential,0.477629995
145,2035,gas,R1,2025,gasboiler,A3,retrofit,residential,0.390629995
146,2040,wind,R1,2025,windturbine,A1,retrofit,power,0.029537377
147,2050,gas,R1,2040,gasboiler,A3,retrofit,residential,0.30537
