ProcessName,RegionName,Unit,2024,2025,2030,2040,2050,2060
gas,R1,PJ/y,1,0.4,0.000000001,0.000000001,0.000000001,0.000000001
windturbine,R1,PJ/y,0,0,0,0,0,0
