ProcessName,RegionName,Time,Level,CO2f,electricity,gas,wind,heat
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
gas,R1,2024,fixed,87.26,1,0,0,0
windturbine,R1,2024,fixed,0,1,0,0,0
